Show Breakdown by Destination >>,,Eat In,,,Take Out,,,Skip The Dishes,,,MB App,,,DoorDash,,,Smooth Delivery,,,Uber Eats,,,Total,,,
From,To,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,Count,Sales,Avg. Sale,%
10:00 AM,11:00 AM,0,0,0,4,44.96,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44.96,11.24,0.92
11:00 AM,12:00 PM,0,0,0,17,155.01,9.12,0,0,0,3,22.77,7.59,0,0,0,0,0,0,0,0,0,20,177.78,8.89,3.65
12:00 PM,1:00 PM,0,0,0,19,213.72,11.25,0,0,0,0,0,0,0,0,0,0,0,0,1,11.79,11.79,20,225.51,11.28,4.63
1:00 PM,2:00 PM,1,13.49,13.49,6,117.21,19.54,0,0,0,1,13.49,13.49,0,0,0,0,0,0,1,58.24,58.24,9,202.43,22.49,4.15
2:00 PM,3:00 PM,0,0,0,14,317.13,22.65,1,28.39,28.39,1,0,0,0,0,0,0,0,0,1,23.15,23.15,17,368.67,21.69,7.56
3:00 PM,4:00 PM,0,0,0,14,402.79,28.77,0,0,0,3,52.74,17.58,0,0,0,0,0,0,0,0,0,17,455.53,26.8,9.34
4:00 PM,5:00 PM,0,0,0,16,443.92,27.75,0,0,0,1,3.99,3.99,0,0,0,0,0,0,0,0,0,17,447.91,26.35,9.19
5:00 PM,6:00 PM,0,0,0,25,555.07,22.2,1,66.34,66.34,0,0,0,1,23.82,23.82,0,0,0,2,76.76,38.38,29,721.99,24.9,14.81
6:00 PM,7:00 PM,0,0,0,25,676.88,27.08,0,0,0,1,43.75,43.75,0,0,0,0,0,0,1,38.97,38.97,27,759.6,28.13,15.58
7:00 PM,8:00 PM,0,0,0,13,430.61,33.12,0,0,0,4,122.76,30.69,0,0,0,0,0,0,5,106.72,21.34,22,660.09,30,13.54
8:00 PM,9:00 PM,0,0,0,9,192.85,21.43,0,0,0,0,0,0,3,56.84,18.95,0,0,0,2,64.24,32.12,14,313.93,22.42,6.44
9:00 PM,10:00 PM,1,8.49,8.49,9,232,25.78,0,0,0,1,11.49,11.49,0,0,0,1,80.71,80.71,1,20.87,20.87,13,353.56,27.2,7.25
10:00 PM,11:00 PM,0,0,0,5,56.49,11.3,0,0,0,1,57.48,57.48,0,0,0,0,0,0,0,0,0,6,113.97,19,2.34
11:00 PM,12:00 AM,0,0,0,1,15.48,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.48,15.48,0.32
12:00 AM,1:00 AM,0,0,0,1,13.49,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.49,13.49,0.28
Totals,,2,21.98,10.99,178,"3,867.61",21.73,2,94.73,47.37,16,328.47,20.53,4,80.66,20.17,1,80.71,80.71,14,400.74,28.62,217,"4,874.90",22.46,100